ID,Time Stamp,DG_On_Load,DG_ON,DGFuelLow,Door_Open,SiteOnBat,Mains_Fail,Fire_Smoke,DGBatt_Low,Room_Temp,Rack_Temp,Batt_Volt,L1_Voltage,L2_Voltage,L3_Voltage,RectFail,Rec_LowV,DG_AC
60,4/1/2018 14:10,No,No,NOT-PROV,Yes,No,No,No,No,32.99,32.26,55.28,239.19,0,0,No,NOT-PROV,0
61,4/1/2018 14:06,No,No,NOT-PROV,Yes,No,No,No,No,32.63,32.14,55.22,239.28,0,0,No,NOT-PROV,0
62,4/1/2018 14:05,No,No,NOT-PROV,Yes,No,No,No,No,32.02,30.69,55.34,239.38,0,0,No,NOT-PROV,0
63,4/1/2018 14:03,No,No,NOT-PROV,Yes,No,No,No,No,32.87,32.39,55.34,239.19,0,0,No,NOT-PROV,0
64,4/1/2018 14:01,No,No,NOT-PROV,Yes,No,No,No,No,32.99,32.14,55.34,239.58,0,0,No,NOT-PROV,0
65,4/1/2018 13:58,No,No,NOT-PROV,Yes,No,No,No,No,32.99,32.39,55.16,238.89,0,0,No,NOT-PROV,0
66,4/1/2018 13:53,No,No,NOT-PROV,Yes,No,No,No,No,32.14,32.14,55.45,238.7,0,0,No,NOT-PROV,0
67,4/1/2018 13:51,No,No,NOT-PROV,Yes,No,No,No,No,32.63,32.02,55.39,237.72,0,0,No,NOT-PROV,0
68,4/1/2018 13:49,No,No,NOT-PROV,Yes,No,No,No,No,31.66,31.17,55.39,237.43,0,0,No,NOT-PROV,0
69,4/1/2018 13:47,No,No,NOT-PROV,Yes,No,No,No,No,32.26,31.54,55.45,235.18,0,0,No,NOT-PROV,0
70,4/1/2018 13:45,No,No,NOT-PROV,Yes,No,No,No,No,31.78,30.93,55.45,235.67,0,0,No,NOT-PROV,0
71,4/1/2018 13:43,No,No,NOT-PROV,Yes,No,No,No,No,31.78,30.81,55.45,235.08,0,0,No,NOT-PROV,0
72,4/1/2018 13:40,No,No,NOT-PROV,Yes,No,No,No,No,32.14,31.54,55.51,235.08,0,0,No,NOT-PROV,0
73,4/1/2018 13:38,No,No,NOT-PROV,Yes,No,No,No,No,30.69,29.96,55.69,235.08,0,0,No,NOT-PROV,0
74,4/1/2018 13:36,No,No,NOT-PROV,Yes,No,No,No,No,30.21,29.6,55.57,235.08,0,0,No,NOT-PROV,0
75,4/1/2018 13:34,No,No,NOT-PROV,Yes,No,No,No,No,28.75,27.9,56.1,235.37,0,0,No,NOT-PROV,0
76,4/1/2018 13:33,No,No,NOT-PROV,Yes,No,No,No,No,28.99,28.63,55.69,236.06,0,0,No,NOT-PROV,0
77,4/1/2018 13:31,No,No,NOT-PROV,Yes,No,No,No,No,30.45,29.6,55.93,234.88,0,0,No,NOT-PROV,0
78,4/1/2018 13:30,No,No,NOT-PROV,Yes,No,No,No,No,30.33,29.72,55.81,235.08,0,0,No,NOT-PROV,0
79,4/1/2018 13:28,No,No,NOT-PROV,Yes,No,No,No,No,29.84,29.36,55.99,234.98,0,0,No,NOT-PROV,0
80,4/1/2018 13:26,No,No,NOT-PROV,Yes,No,No,No,No,29.84,29.12,55.99,235.67,0,0,No,NOT-PROV,0
81,4/1/2018 13:24,No,No,NOT-PROV,Yes,No,No,No,No,30.08,29.72,55.87,235.57,0,0,No,NOT-PROV,0
82,4/1/2018 13:23,No,No,NOT-PROV,Yes,No,No,No,No,29.96,29.24,55.81,236.15,0,0,No,NOT-PROV,0
83,4/1/2018 13:21,No,No,NOT-PROV,Yes,No,No,No,No,30.21,29.6,55.75,236.25,0,0,No,NOT-PROV,0
84,4/1/2018 13:19,No,No,NOT-PROV,Yes,No,No,No,No,30.33,29.96,55.51,235.86,0,0,No,NOT-PROV,0
85,4/1/2018 13:17,No,No,NOT-PROV,Yes,No,No,No,No,30.69,30.08,55.69,235.18,0,0,No,NOT-PROV,0
86,4/1/2018 13:15,No,No,NOT-PROV,Yes,No,No,No,No,29.12,28.39,55.75,235.57,0,0,No,NOT-PROV,0
87,4/1/2018 13:13,No,No,NOT-PROV,Yes,No,No,No,No,29.6,28.99,55.81,235.67,0,0,No,NOT-PROV,0
88,4/1/2018 13:12,No,No,NOT-PROV,Yes,No,No,No,No,29.48,28.87,55.75,235.57,0,0,No,NOT-PROV,0
89,4/1/2018 13:10,No,No,NOT-PROV,Yes,No,No,No,No,29.96,29.36,55.81,236.94,0,0,No,NOT-PROV,0
90,4/1/2018 13:09,No,No,NOT-PROV,Yes,No,No,No,No,30.08,29.72,55.81,236.35,0,0,No,NOT-PROV,0
91,4/1/2018 13:07,No,No,NOT-PROV,Yes,No,No,No,No,29.24,28.63,55.69,236.45,0,0,No,NOT-PROV,0
92,4/1/2018 13:05,No,No,NOT-PROV,Yes,No,No,No,No,29.6,24.88,55.81,236.64,0,0,No,NOT-PROV,0
93,4/1/2018 13:04,No,No,NOT-PROV,Yes,No,No,No,No,30.08,29.48,55.81,235.96,0,0,No,NOT-PROV,0
94,4/1/2018 13:02,No,No,NOT-PROV,Yes,No,No,No,No,30.45,30.08,55.87,236.45,0,0,No,NOT-PROV,0
95,4/1/2018 13:00,No,No,NOT-PROV,Yes,No,No,No,No,29.12,28.15,55.81,235.18,0,0,No,NOT-PROV,0
96,4/1/2018 12:59,No,No,NOT-PROV,Yes,No,No,No,No,29.84,28.99,55.81,234.49,0,0,No,NOT-PROV,0
97,4/1/2018 12:54,No,No,NOT-PROV,Yes,No,No,No,No,29.36,28.99,55.93,234.59,0,0,No,NOT-PROV,0
98,4/1/2018 12:52,No,No,NOT-PROV,Yes,No,No,No,No,28.87,28.27,55.93,234.49,0,0,No,NOT-PROV,0
99,4/1/2018 12:50,No,No,NOT-PROV,Yes,No,No,No,No,28.99,28.27,55.93,233.32,0,0,No,NOT-PROV,0
100,4/1/2018 12:49,No,No,NOT-PROV,Yes,No,No,No,No,28.15,27.66,56.1,233.32,0,0,No,NOT-PROV,0
101,4/1/2018 12:47,No,No,NOT-PROV,Yes,No,No,No,No,28.87,28.27,55.93,233.42,0,0,No,NOT-PROV,0
102,4/1/2018 12:46,No,No,NOT-PROV,Yes,No,No,No,No,28.39,28.03,56.05,234,0,0,No,NOT-PROV,0
103,4/1/2018 12:44,No,No,NOT-PROV,Yes,No,No,No,No,28.99,28.39,56.16,233.12,0,0,No,NOT-PROV,0
104,4/1/2018 12:42,No,No,NOT-PROV,Yes,No,No,No,No,28.03,27.54,56.16,233.91,0,0,No,NOT-PROV,0
105,4/1/2018 12:40,No,No,NOT-PROV,Yes,No,No,No,No,28.39,27.54,56.22,234.39,0,0,No,NOT-PROV,0
106,4/1/2018 12:38,No,No,NOT-PROV,Yes,No,No,No,No,28.75,28.39,56.1,233.91,0,0,No,NOT-PROV,0
107,4/1/2018 12:36,No,No,NOT-PROV,Yes,No,No,No,No,27.78,27.3,56.1,234.88,0,0,No,NOT-PROV,0
108,4/1/2018 12:35,No,No,NOT-PROV,Yes,No,No,No,No,27.78,27.06,56.28,234.3,0,0,No,NOT-PROV,0
109,4/1/2018 12:33,No,No,NOT-PROV,Yes,No,No,No,No,29.24,28.51,55.99,235.08,0,0,No,NOT-PROV,0
110,4/1/2018 12:31,No,No,NOT-PROV,Yes,No,No,No,No,28.63,27.9,56.16,235.47,0,0,No,NOT-PROV,0
111,4/1/2018 12:29,No,No,NOT-PROV,Yes,No,No,No,No,27.9,27.18,56.22,234.39,0,0,No,NOT-PROV,0
112,4/1/2018 12:27,No,No,NOT-PROV,Yes,No,No,No,No,28.03,27.3,56.05,233.02,0,0,No,NOT-PROV,0
113,4/1/2018 12:25,No,No,NOT-PROV,Yes,No,No,No,No,27.54,26.94,56.16,233.42,0,0,No,NOT-PROV,0
114,4/1/2018 12:23,No,No,NOT-PROV,Yes,No,No,No,No,27.42,26.57,56.28,233.61,0,0,No,NOT-PROV,0
